id,Gender.self,Year.self,Born.self,Hukou.self,Live.self,Marriage.self,Height.self,Weight.self,Looking.self,Personality.self,Edu.self,Eduno.self,top.self,Abroad.self,Major.self,Job.self,Salary.self,Apt.self,Family.self,Hobby.self,Other.self,interesting.self,Gender.wanted,Year.max.wanted,Year.min.wanted,Year.text.wanted,Hukou.wanted,Live.wanted,Marriage.wanted,Height.min.wanted,Looking.wanted,Personality.wanted,Hobby.wanted,Edu.min.wanted,Edu.min.n.wanted,Job.wanted,Salary.min.wanted,Apt.wanted,Family.wanted,Other.wanted,interesting.wanted,Similar.wanted
811,女性,1981,N,N,N,单身,1.65,N,N,随和、大气,N,N,N,N,N,国企,N,N,父亲工程师退休，母亲银行退休,N,N,N,男性,1974,1982,1974年到1982年间出生,N,N,未婚,1.75,N,N,N,N,N,工作稳定,N,N,N,条件相当,N,Y
812,女性,1990,上海,N,N,单身,1.6,N,貌佳,善良、体贴、大方,本科,4,N,Y,N,N,N,有房,N,N,家境好。备有婚房,N,男性,1986,1994,1986年到1994年间出生,N,N,未婚,1.75,N,阳光、有担当、有责任心、成熟稳重,N,N,N,N,N,有婚房,N,家境好,N,N
813,女性,1990,浙江舟山,有上海户口,N,N,1.6,N,N,N,研究生,5,N,N,N,证券公司,N,N,N,N,英语专业八级,N,男性,1982,1990,1982年到1990年间出生,N,N,N,1.7,N,有责任感,N,N,N,收入稳定,N,N,N,N,N,N
814,女性,1979,N,N,N,离异,1.61,N,N,N,本科,4,N,N,N,N,N,有房,N,N,住闵行有独立婚房，无贷。其他城市有两套房。独女,N,男性,1972,1980,1972年到1980年间出生,N,N,N,1.7,N,对家庭有责任心、爱心,N,大专,3,N,N,N,N,N,N,N
815,女性,1988,N,N,N,N,1.6,N,端正,性格开朗、大方、懂事,本科,4,N,N,N,私企IT,N,N,父母已退休,N,N,N,男性,1980,1988,1980年到1988年间出生,N,N,N,1.7,N,人品好、阳光、有责任心、务实上进,N,本科,4,N,N,N,非离异家庭,身体健康,N,N
816,女性,1978,上海,有上海户口,N,单身,1.63,N,N,N,研究生,5,N,N,N,外企,N,N,父母退休,N,N,N,男性,1970,1979,1970年到1979年间出生,N,N,N,1.7,N,有责任心、事业心,N,本科,4,N,N,N,N,优秀,N,N
817,女性,1985,上海,有上海户口,N,离异,1.62,N,N,N,本科,4,N,N,N,央企,N,有房,N,N,有一孩归男方抚养。备有婚房,有孩归男方,男性,1980,1989,1980年到1989年间出生,N,N,N,1.7,N,人品好，有责任心,N,本科,4,稳定工作,N,N,N,N,N,N
818,男性,1976,N,N,N,N,1.8,N,N,N,本科,4,N,N,N,外企设计师,N,有房,N,无不良嗜好,备有婚房,N,女性,1980,1989,1980年到1989年间出生,N,N,N,1.65,N,N,N,本科,4,N,N,N,N,学历、家庭条件相当,N,Y
819,男性,1986,上海,有上海户口,美国纽约,单身,1.8,N,N,阳光、健康、稳重,研究生,5,N,Y,N,银行,N,有房,家境好,N,有绿卡。备有婚房,有绿卡,女性,1981,1991,1981年到1991年间出生,N,纽约或周边地区,N,N,貌佳,N,N,N,N,N,N,N,N,N,N,N
820,女性,1985,N,N,美国旧金山,单身,1.65,N,貌佳善良,N,N,N,N,N,N,设计,N,N,知识分子家庭,N,家境好,N,男性,1980,1990,1980年到1990年间出生,江浙沪,N,N,N,N,N,N,N,N,在旧金山湾区硅谷工作或附近地区,N,N,N,有绿卡,N,N
