id,Gender.self,Year.self,Born.self,Hukou.self,Live.self,Marriage.self,Height.self,Weight.self,Looking.self,Personality.self,Edu.self,Eduno.self,top.self,Abroad.self,Major.self,Job.self,Salary.self,Apt.self,Family.self,Hobby.self,Other.self,interesting.self,Gender.wanted,Year.max.wanted,Year.min.wanted,Year.text.wanted,Hukou.wanted,Live.wanted,Marriage.wanted,Height.min.wanted,Looking.wanted,Personality.wanted,Hobby.wanted,Edu.min.wanted,Edu.min.n.wanted,Job.wanted,Salary.min.wanted,Apt.wanted,Family.wanted,Other.wanted,interesting.wanted,Similar.wanted
175,女性,1987,N,有上海户口,上海,N,1.56,N,N,N,本科,4,N,N,N,助理经理,300000,N,N,N,有国家级注册工程师资格,N,男性,N,N,N,N,上海,N,1.7,N,N,N,N,N,工作稳定,N,N,N,资历相等,资历相等,N
176,男性,1989,N,N,N,单身,1.78,N,N,正派、上进、稳重,研究生,5,N,N,N,央企技术,N,N,N,N,N,N,女性,1988,N,1988年后出生,N,N,未婚,1.6,端庄,自尊，上进,N,本科,4,工作稳定,N,N,N,N,自尊,N
177,女性,1968,N,N,N,单身,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,男性,1973,N,1973年后出生,N,N,N,N,N,善良、达理、综合素质好,N,N,N,N,N,有婚房,N,上海有房，有共同语言,综合素质好,N
178,男性,1971,N,N,N,N,1.68,N,相貌一般,为人忠厚不善主动表达,N,N,N,N,N,电信客户回访,96000,N,父母退休，兄弟已婚,爱好喝茶、咖啡、旅游；无不良嗜好,N,不善表达,女性,N,N,N,上海户口,N,未婚,N,长相清秀,尊重长辈，有孝心、爱心、品行端正,N,本科,4,N,N,N,N,N,尊重长辈,N
179,女性,1980,N,N,N,N,1.62,N,文雅端庄,真诚稳重,研究生,5,重点大学毕业,N,工商管理,外企业务主管,200000,有房,N,爱好书法、古筝,浦东有房,爱好古筝,男性,N,N,N,N,N,N,N,N,性格好、三观正、体贴顾家,N,N,N,N,N,N,N,条件相当,N,Y
180,女性,1982,福建,有上海户口,N,单身,1.61,N,N,N,研究生,5,N,N,N,N,N,有房,父母退休,爱国画,备有婚房,爱好国画,男性,1976,1983,1976年到1983年间出生,N,N,N,N,N,N,N,研究生,5,N,N,N,N,N,N,N
181,女性,1982,N,有上海户口,N,N,1.61,N,N,N,研究生,5,重点大学毕业,N,N,N,N,N,父母公务员已退休,爱国画,英语六级,爱好国画,男性,1976,1983,1976年到1983年间出生,N,N,N,1.68,N,N,N,研究生,5,N,N,N,N,N,N,N
182,女性,1984,N,N,N,N,1.63,N,肤白五官端正、身材匀称,心地善良,N,N,N,N,N,从事教育,N,有房,N,N,爱清洁。名下有1000万房产,爱清洁,男性,N,N,N,N,N,N,1.72,N,人品好,N,N,N,N,N,N,N,经济条件较好,N,N
183,女性,1984,N,有上海户口,N,N,1.7,N,N,开朗大方、心地善良、内外兼修,研究生,5,重点大学毕业,Y,N,金融分析师,N,N,父亲国家公务员，母亲事业单位高级工程师,爱健身、游泳、做饭,N,爱做饭,男性,1980,1985,1980年到1985年间出生,N,N,N,1.75,N,有爱心、积极向上、有担当,N,本科,4,工作稳定,N,N,N,N,N,N
184,女性,1984,山东,有上海户口,N,离异,1.65,N,N,N,本科,4,N,N,N,事业单位,N,有房,父母浙江退休,N,"正式编制，军校毕业，党员，部队转业，有产权房2套,无同居史,独生女",部队转业,男性,1980,1985,1980年到1985年间出生,N,N,离异,N,N,N,N,N,N,N,N,N,N,N,N,N
185,女性,1991,江苏南京,没有上海户口,N,单身,N,N,五官端正、身材苗条,文静大气、知书达理,研究生,5,N,Y,N,美企客户经理,N,有房,传统家庭，温馨和睦。父亲在职央企高工，母亲退休,古筝表演，业余10级,上海及其他城市有房,传统家庭,男性,1985,1990,1985年到1990年间出生,N,N,N,N,品质貌端,真诚、善良、担当、有责任心,无不良嗜好,N,N,N,N,N,N,学历身高相当。在上海工作,N,N
186,男性,1983,上海,有上海户口,N,N,1.7,N,健康端正不胖,正直本分上进、随和开朗,本科,4,N,N,N,德企客户经理,162000,N,传统家庭，淳朴家风，父母均文化事业单位退休,无烟酒不良嗜好,系优秀毕业生,淳朴家风,女性,1982,N,1982年后出生,N,N,未婚,1.6,健康清秀,有良好素养和家教,N,大专,3,工作稳定,N,N,N,N,N,N
187,女性,1983,上海,有上海户口,N,N,1.62,N,美丽,善良、善于人际沟通性格开朗,研究生,5,重点大学毕业,Y,N,世界500强项目经理,N,N,父亲高级讲师，母亲医生,无不良嗜好，兴趣爱好广泛，爱好小提琴、中长跑，绘画多次获奖,N,多次获奖,男性,1983,N,1983年后出生,N,N,N,1.7,N,N,无不良嗜好,本科,4,N,N,要有婚房,N,身体健康，学历和收入相当，有婚房更好或可以共同购房,N,N
188,女性,1980,N,N,N,单身,1.6,54,N,身体健康、端庄雅丽,本科,4,N,N,N,外资企业财务,120000,N,父母国企退休,N,熟练使用各种外语：英语、日语、西班牙语,多门外语,男性,N,N,N,N,N,未婚,N,N,责任心强,N,本科,4,N,N,N,N,身体健康,N,N
189,男性,1988,浙江,没有上海户口,N,N,1.75,N,N,性格开朗、事业心强,研究生,5,重点大学毕业,N,N,N,N,有房,父母齐全,N,收入中上。备有婚房,父母齐全,女性,1988,N,1988年后出生,澳大利亚悉尼,N,N,1.6,N,阳光、贤惠,N,本科,4,N,N,N,父母齐全,N,N,N
190,女性,1984,N,N,N,离异,1.64,N,端庄气质好,传统单纯、人品好、会持家过日子,N,N,N,N,N,N,N,N,N,N,有英语高级口译证书,高级口译,男性,1976,1982,1976年到1982年间出生,N,N,N,1.76,N,人品好能过日子,N,N,N,N,N,N,N,N,N,N
191,女性,1982,N,N,N,N,1.64,50,身材匀称，肤白清秀,善良勤奋,本科,4,重点大学毕业,N,传媒,美企,N,有房,双军人，双高知家庭,N,家境优越，双学位，年薪可观，备有婚房,高知家庭,男性,1985,N,1985年后出生,N,N,N,1.75,长相英俊、不要太胖,心智成熟、有责任心,N,本科,4,N,N,要有婚房,N,名校本科优先。身体健康,N,N
192,女性,1977,N,N,N,离异,1.63,N,漂亮大方、年轻有活力,本人素质很好、朴实勤俭、会过日子,高中,2,N,N,N,外企品检员,60000,N,N,N,N,会过日子,男性,1972,N,1972年后出生,上海户口,N,N,N,N,N,N,N,N,N,N,有婚房,N,上海外地人皆可,N,N
193,女性,1986,上海,N,N,单身,1.62,N,N,性格文静,本科,4,重点大学毕业,N,N,外资公司,120000,N,N,N,中共党员。家境殷实,家境殷实,男性,1981,1985,1981年到1985年间出生,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
194,女性,1980,N,有上海户口,N,单身,1.62,N,N,传统、素质好,大专,3,N,N,N,外企,100000,N,父母退休、家庭和睦,N,独生女,家庭和睦,男性,1975,1980,1975年到1980年间出生,N,N,N,N,N,有责任心,N,N,N,N,N,有婚房,N,N,N,N
195,男性,1984,N,有上海户口,N,N,1.72,N,健康壮实,N,N,N,N,N,N,国企,N,N,父母退休,N,工作13年，为在编职员,健康壮实,女性,1988,N,1988年后出生,N,N,N,N,N,N,N,N,N,做文化工作,N,N,N,户籍不限,N,N
196,男性,1975,N,有上海户口,N,单身,1.78,N,N,N,本科,4,重点大学毕业,N,N,酒店财务,N,N,教师之家,不吸烟、不喝酒,N,教师之家,女性,1981,N,1981年后出生,N,N,N,1.6,N,聪明、懂事、有能力,N,本科,4,N,N,N,普通家庭较优的，一般家境也可,N,N,N
197,女性,1986,N,没有上海户口,N,单身,1.62,52,N,人品好、懂事,本科,4,N,N,N,外企,N,N,传统家庭，父亲经商，母亲退休,N,党员。可资助购房,可资助购房,男性,1981,1986,1981年到1986年间出生,N,N,N,1.7,N,有上进心、责任心,N,本科,4,N,N,N,N,N,N,N
198,女性,1987,N,有上海户口,N,N,1.62,N,端庄秀丽,外秀内慧、孝敬父母、尊重长辈,N,N,N,Y,N,金融机构,N,N,N,热心社会公益事业，爱好旅游与健身运动,对工作积极热情，敬业敬责，多次受到单位的表彰,热心公益,男性,1981,1987,1981年到1987年间出生,N,N,N,1.73,N,阳光，成熟稳重，对家庭有责任感，性格开朗,N,本科,4,稳定,N,N,N,有一定经济基础,N,N
199,女性,1987,N,N,N,N,1.67,N,气质佳,N,N,N,N,N,N,市级医院,120000,N,N,N,以日班为主,日班为主,男性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
200,男性,1992,N,有上海户口,N,N,1.82,73,N,儒雅深沉,本科,4,重点大学毕业,N,N,国企研发部,N,有房,N,N,有独立婚房，无贷款,儒雅深沉,女性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
201,男性,1990,江苏,N,N,N,1.8,N,N,N,本科,4,重点大学毕业,N,N,网络系统架构设计,N,N,N,N,大学本科三个专业双学位,三个专业,女性,1988,1994,年龄相仿,N,N,N,1.65,N,知书达理、快乐阳光、会生活、传统型,N,本科,4,N,N,N,N,身体健康,N,N
202,女性,1982,江苏南京,N,N,N,1.65,N,肤白,阳光、善解人意,研究生,5,重点大学毕业,N,N,部队高校教师,N,有房,父母事业单位退休,N,党员，军职能给对方带上海户籍。备有婚房,提供沪籍,男性,1977,1982,1977年到1982年间出生,N,N,未婚,1.72,N,身心健康，善良有责任心,N,N,N,职业稳定,N,N,N,学历相当,N,N
203,女性,1984,N,有上海户口,N,离异,1.65,N,N,N,本科,4,N,N,N,事业单位,N,有房,父母退休,N,领证未办酒席，无同居史。独生女。备有婚房,未办酒席,男性,1980,1985,1980年到1985年间出生,N,N,未婚或短婚未育,N,N,N,N,N,N,N,N,N,N,N,N,N
204,女性,1980,N,N,N,N,1.61,N,N,N,本科,4,重点大学毕业,N,N,N,N,N,知识分子家庭,N,无同居史,无同居史,男性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,情况相近,N,N
205,女性,1980,N,N,N,离异,1.61,N,N,N,本科,4,重点大学毕业,N,N,N,N,N,知识分子家庭,N,领证，无同居史,无同居史,男性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
206,女性,1980,N,N,N,离异,1.6,N,N,N,本科,4,N,N,N,金融高级经理,N,N,知识分子家庭,N,有中国注册会计师资格，职业稳定，无同居史,无同居史,男性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,情况相近,N,N
207,男性,1984,上海,有上海户口,澳大利亚悉尼,N,1.7,N,N,成熟稳重、阳光,研究生,5,N,Y,N,牙模,N,N,家境好,N,有绿卡。身体健康,牙模,女性,N,N,N,N,澳大利亚悉尼,N,N,端正美丽,N,N,N,N,N,N,N,N,N,N,N
208,男性,1984,N,有上海户口,N,单身,1.75,N,帅气,N,本科,4,N,N,N,医师,180000,有房,父母国企退休,N,有多套商品房、商铺房，无贷款，轿车两辆，还有待拆房,有待拆房,女性,1985,N,1985年后出生,N,N,未婚,N,五官端正,N,N,本科,4,工作稳定,N,N,N,家里经济条件好,N,N
209,男性,1985,N,有上海户口,N,N,1.68,N,N,N,中专,1,N,N,N,N,60000,有房,N,无不良嗜好,有动迁房，住房多套，店铺三间,有动迁房,女性,N,N,N,N,N,N,N,人好看,脾气好、良心好，有包容心,N,N,N,N,N,N,N,N,N,N
210,男性,1967,N,N,N,N,1.72,N,帅气,人品好、阳光,N,N,N,N,N,经商,N,有房,N,N,其他城市有房一栋,有房一栋,女性,N,N,N,N,N,N,N,N,N,N,N,N,做生意,N,N,N,N,N,N
211,男性,1983,N,有上海户口,N,N,1.7,N,N,N,本科,4,重点大学毕业,N,N,造船厂工程师,N,有房,父母国家公务员，现已退休,N,备有婚房,造船工程师,女性,1986,N,1986年后出生,N,N,N,1.6,N,人品好、性格开朗、善良孝顺、传统本分,N,本科,4,N,N,N,N,N,N,N
212,女性,1978,江苏苏州,没有上海户口,上海,单身,1.68,N,N,贤惠传统,大专,3,N,N,N,外企主管,N,有房,N,N,有宅楼280平米，规划动迁中,宅楼两百平,男性,N,N,N,N,N,N,1.75,N,踏实稳重,N,N,N,工作稳定,N,N,N,N,N,N
213,女性,1978,N,没有上海户口,N,单身,1.68,N,N,贤惠传统,大专,3,N,N,N,外企主管,N,有房,N,N,英语六级；有宅楼近三百平，规划动迁中,宅楼三百平,男性,N,N,N,N,N,N,1.75,N,踏实稳重,N,N,N,稳定工作,N,N,N,N,N,N
214,女性,1983,N,有上海户口,N,N,N,N,N,N,研究生,5,重点大学毕业,N,N,互联网管理,240000,有房,父母公务员退休,N,备有婚房,N,男性,N,N,N,N,N,N,1.74,N,N,N,本科,4,N,N,N,N,N,N,N
215,女性,1958,上海,N,N,N,1.64,N,N,N,N,N,N,N,N,N,24000,N,N,N,已退休,N,男性,1948,N,1948年后出生,上海户口,N,N,N,N,N,N,N,N,N,N,N,N,身体好。条件好点。无经济负担,N,N
216,男性,1988,上海,N,N,单身,1.7,N,N,N,N,N,N,N,N,外企,36000,有房,N,N,有独立房二套,N,女性,1986,N,1986年后出生,N,N,N,N,N,本分老实,N,N,N,N,N,N,N,N,N,N
217,女性,1980,N,N,N,离异,1.6,49,N,N,本科,4,N,N,N,外企,84000,N,N,N,领证未办（一个月）,N,男性,1970,1981,1970年到1981年间出生,N,N,N,N,N,N,无不良嗜好,本科,4,N,60000,N,N,N,N,N
218,女性,1993,浙江,有上海户口,N,单身,1.63,N,N,N,大专,3,N,N,N,展会,48000,N,N,N,N,N,男性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
219,男性,1990,N,有上海户口,N,单身,1.65,N,N,N,大专,3,N,N,N,国企社工,48000,有房,N,N,备有婚房,N,女性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,相仿条件,N,Y
221,女性,1985,上海,N,N,N,1.55,N,N,N,本科,4,N,N,N,N,52000,N,N,N,N,N,男性,N,N,N,N,N,N,N,N,N,无不良嗜好,本科,4,N,N,N,N,N,N,N
222,女性,1988,N,N,N,N,1.68,N,N,N,大专,3,N,N,N,电子商务,54000,N,N,N,N,N,男性,1981,1988,1981年到1988年间出生,上海户口,N,N,1.74,N,N,不吸烟,本科,4,N,N,要有婚房,N,N,N,N
223,女性,1978,上海,有上海户口,N,单身,1.55,48,N,N,本科,4,N,N,N,公司财务出纳,57600,有房,N,N,备有婚房,N,男性,1974,1980,1974年到1980年间出生,N,N,未婚,1.65,不胖,N,N,大专,3,N,60000,N,N,N,N,N
224,男性,1950,上海,有上海户口,N,离异,1.71,N,N,有担当责任心,N,N,N,N,N,N,57600,有房,N,N,备有婚房。退休。健康家境好,N,女性,1940,1960,1940年到1960年间出生,N,N,离异,1.6,气质佳,善良、脾气性格好,N,N,N,有退休收入,N,N,N,N,N,N
225,女性,1984,N,N,N,离异,1.62,51.5,N,N,大专,3,N,N,N,财务,60000,有房,N,N,备有婚房,N,男性,N,1979,1979年前出生,上海户口,N,N,N,N,N,N,N,N,N,72000,有婚房,N,未育或子女归对方,N,N
226,女性,1988,N,有上海户口,上海,N,1.6,N,N,N,N,N,N,N,N,公司行政助理,60000,N,N,N,N,N,男性,N,N,N,N,N,N,N,N,老实本分,N,N,N,稳定工作,N,有婚房,N,N,N,N
227,女性,1988,N,有上海户口,N,N,1.68,N,貌美，气质佳,N,大专,3,N,N,N,商务电商,60000,N,N,N,N,N,男性,1982,N,1982年后出生,上海户口,N,N,1.75,N,人品好,不吸烟,N,N,N,N,有婚房,N,N,N,N
228,女性,1981,N,N,N,单身,1.57,48,N,N,本科,4,N,N,N,人事,60000,N,N,N,N,N,男性,N,N,N,上海户口,N,未婚,1.68,N,N,N,N,N,工作稳定,N,N,N,N,N,N
229,男性,1991,上海,有上海户口,N,N,1.78,N,帅,N,N,N,N,N,N,酒店厨师,60000,有房,父亲开店,N,有2008建商房,帅,女性,1991,N,1991年后出生,江浙沪,N,N,1.62,N,N,N,N,N,N,N,N,N,N,N,N
230,男性,1983,上海,有上海户口,N,N,1.78,N,N,N,大专,3,N,N,N,邮政,60000,N,N,N,N,N,女性,N,N,N,N,N,N,1.6,N,性格开朗、孝顺父母,N,N,N,N,N,N,N,条件相仿,N,Y
231,男性,1984,N,N,N,N,1.7,N,N,N,高中,2,N,N,N,有线电视,60000,有房,N,N,备有婚房,N,女性,1984,N,1984年后出生,N,N,N,1.55,N,人品好,N,大专,3,N,N,N,N,N,N,N
232,男性,1983,N,有上海户口,N,N,1.83,N,N,N,N,N,N,N,N,外企,60000,有房,N,N,备有婚房,N,女性,1980,1986,年龄相仿,上海户口,N,N,1.65,N,本分,N,N,N,稳定工作,N,N,N,N,N,N
233,男性,1983,N,N,N,N,1.8,N,帅气,N,大专,3,N,N,N,街道文化中心管理,60000,有房,N,N,备有婚房,N,女性,1983,1988,1983年到1988年间出生,上海户口,N,N,1.6,N,人品好,N,N,N,有稳定工作,N,N,N,N,N,N
234,女性,1990,N,N,N,N,1.64,N,清秀,N,本科,4,N,N,N,国际学校行政,60000,N,N,N,N,N,男性,1985,1990,1985年到1990年间出生,N,上海,N,1.75,N,N,N,本科,4,N,N,N,N,N,N,N
235,男性,1986,上海,N,N,单身,1.74,N,N,阳光,大专,3,N,N,N,国企,60000,有房,N,N,备有婚房,N,女性,1981,1991,1981年到1991年间出生,江浙沪,N,未婚,N,清秀,善良,N,N,N,在上海有工作,N,N,N,N,N,N
236,女性,1993,上海,有上海户口,N,单身,1.68,N,外貌佳、甜美清秀,善良温柔,本科,4,N,N,N,三级医院,60000,N,N,N,家境好,N,男性,1988,1998,1988年到1998年间出生,上海户口,N,未婚,1.76,N,阳光、有担当、有责任心、稳重,N,N,N,稳定工作,N,有婚房,N,健康,N,N
237,女性,1988,上海,有上海户口,N,单身,1.68,N,貌佳、甜美、清秀,温柔,大专,3,N,N,N,私企,60000,N,N,N,独生女。家境好,N,男性,1983,1993,1983年到1993年间出生,N,N,N,1.75,N,阳光,不抽烟,N,N,稳定工作,N,有婚房,N,N,N,N
238,男性,1949,上海,N,N,离异,1.7,67.5,N,N,N,N,N,N,N,N,60000,有房,女儿已出嫁,不烟酒,备有婚房。已退休,女儿已出嫁,女性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
239,女性,1982,上海,有上海户口,N,单身,1.6,N,N,N,本科,4,N,N,N,建筑设计项目助理,66000,N,N,N,N,N,男性,N,N,N,N,N,N,N,N,朴实,N,N,N,N,N,N,N,条件相仿,N,Y
240,男性,1978,上海,有上海户口,上海,N,1.7,N,N,N,大专,3,N,N,N,电子商务,66000,有房,N,N,备有婚房,N,女性,1980,1982,1980年到1982年间出生,N,N,N,N,N,本分,N,N,N,稳定工作,N,N,N,N,N,N
241,男性,1978,N,N,N,N,1.75,N,N,N,大专,3,N,N,N,国企设备维修员,72000,N,N,N,N,N,女性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
242,男性,1984,N,N,N,离异,1.75,N,N,N,大专,3,N,N,N,车间主管,72000,有房,N,N,家住静安区，住房有两套,N,女性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
243,男性,1971,N,N,N,单身,1.71,N,显得年轻,人品好、善良,N,N,N,N,N,N,72000,N,N,N,N,显得年轻,女性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,过日子的女生,N,N
244,女性,1993,N,N,N,N,1.67,N,气质佳,N,本科,4,N,N,N,人事部门,72000,N,N,N,N,N,男性,1988,N,1988年后出生,上海户口,N,N,1.78,N,N,N,大专,3,工作稳定,N,要有婚房,N,N,N,N
245,男性,1991,上海,有上海户口,N,N,1.74,N,英俊可爱,阳光稳重,本科,4,N,N,N,软件,72000,N,N,N,N,英俊可爱,女性,1988,1994,年龄相仿,N,N,N,N,甜美清秀,善良,N,N,N,N,N,N,N,N,N,N
246,男性,1975,上海,有上海户口,上海,离异,1.75,N,N,N,本科,4,N,N,N,事业单位,72000,有房,N,N,备有婚房。党员。短婚未育,党员,女性,1978,1984,1978年到1984年间出生,上海户口,N,N,1.6,N,N,N,大专,3,稳定工作,N,N,N,N,N,N
247,女性,1982,N,N,N,N,1.48,50,N,N,中专,1,N,N,N,房产,72000,有房,N,N,内环百平独立婚房,N,男性,1973,1981,1973年到1981年间出生,江浙沪,N,N,1.7,N,N,N,大专,3,N,N,N,N,N,N,N
248,男性,1970,上海,N,N,单身,1.74,N,N,阳光、有担当责任心,N,N,N,N,N,N,72000,N,N,无不良嗜好,N,无不良嗜好,女性,N,N,N,N,N,N,N,清秀,善良，脾气性格好,N,N,N,有工作,N,N,N,N,N,N
249,男性,1973,上海,N,N,单身,1.75,N,N,阳光型,N,N,N,N,N,国企,78000,有房,N,N,备有婚房,阳光型,女性,N,1978,1978年前出生,N,N,N,1.6,N,N,N,N,N,N,N,N,N,N,N,N
250,男性,1975,上海,有上海户口,N,单身,1.75,N,N,阳光,N,N,N,N,N,国企,78000,有房,N,N,备有婚房,N,女性,1980,N,1980年后出生,N,N,N,1.6,N,N,N,N,N,N,N,N,N,N,N,N
251,男性,1972,上海,有上海户口,N,单身,1.75,N,N,阳光,N,N,N,N,N,国企,78000,有房,N,N,备有婚房,N,女性,1973,1978,1973年到1978年间出生,N,N,N,1.6,N,N,N,N,N,N,N,N,N,N,N,N
252,女性,1985,上海,有上海户口,N,N,1.63,50,N,N,N,N,N,N,N,国际货运代理,78000,N,N,N,N,N,男性,1980,1989,1980年到1989年间出生,N,N,N,1.75,N,N,N,N,N,N,N,N,N,N,N,N
253,男性,1979,上海,有上海户口,N,离异,1.7,N,N,N,大专,3,N,N,N,国企,84000,有房,N,N,备有婚房,N,女性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
254,男性,1977,N,有上海户口,N,N,1.75,N,N,N,博士,6,N,N,N,科研人员,84000,有房,N,N,备有婚房,N,女性,N,1990,1990年前出生,N,N,N,1.6,N,N,N,大专,3,N,N,N,N,户籍不限,N,N
255,男性,1987,上海,N,N,单身,1.7,N,N,N,中专,1,N,N,N,外企,84000,有房,N,N,备有婚房,N,女性,1990,N,1990年后出生,N,N,N,1.58,N,人品好,N,N,N,N,N,N,N,N,N,N
256,男性,1977,上海,有上海户口,上海,离异,1.7,N,N,N,本科,4,N,N,N,邮政局,84000,有房,N,N,备有婚房,N,女性,1980,1984,1980年到1984年间出生,N,N,N,N,N,素质好,N,本科,4,稳定工作,N,N,N,婚姻不限,N,N
257,男性,1977,N,有上海户口,N,N,1.7,N,N,N,本科,4,N,N,N,邮政局,84000,有房,N,N,备有婚房，短婚未育,N,女性,1980,1984,1980年到1984年间出生,N,N,N,1.6,N,素质好,N,本科,4,有稳定工作,N,N,N,N,N,N
258,男性,1981,上海,N,N,单身,1.72,N,N,人品好,本科,4,N,N,N,软件设计师,84000,N,N,N,N,N,女性,1984,1988,1984年到1988年间出生,江浙沪,N,N,1.58,N,人品好,N,N,N,工作稳定,N,N,N,身体健康,N,N
259,女性,1983,N,N,N,N,1.65,N,N,人品好、脾气好,本科,4,N,N,N,产品设计师,84000,N,N,N,N,N,男性,1978,1983,1978年到1983年间出生,上海户口,N,N,1.75,N,N,N,大专,3,工业稳定,N,要有婚房,N,N,N,N
260,女性,1981,N,N,N,单身,1.61,N,N,N,N,N,N,N,N,财务,84000,N,N,N,N,N,男性,1974,1980,1974年到1980年间出生,N,N,未婚,N,N,N,N,大专,3,N,N,N,N,N,N,N
261,女性,1989,江西,N,N,N,1.6,N,N,文静,本科,4,N,N,N,私企金融,84000,N,N,N,N,N,男性,1981,1989,1981年到1989年间出生,N,上海,N,1.7,N,N,N,大专,3,N,N,N,N,N,N,N
262,男性,1978,N,有上海户口,N,单身,1.7,N,N,诚实,大专,3,N,N,财会,企业财会,84000,有房,父亲退休医师，母亲退休职工,烟酒不沾,备有婚房,N,女性,1982,N,1982年后出生,N,N,未婚,N,N,通情达理、身体健康,N,大专,3,N,N,N,N,N,N,N
263,女性,1978,上海,有上海户口,N,单身,1.7,N,N,诚实,大专,3,N,N,财会,私企财会,84000,有房,父亲是退休医生，母亲是退休职工,烟酒赌不沾,有中级会计师证明。家住浦东。备有婚房,N,男性,1982,N,1982年后出生,N,N,未婚,1.6,N,通情达理,N,大专,3,N,N,N,N,身体健康，学历相当，户口不限,N,N
264,女性,1979,N,有上海户口,N,N,1.55,N,N,N,大专,3,N,N,N,会计,90000,N,N,N,和父母同住三房两厅,N,男性,N,N,N,N,N,N,1.7,N,善良、有责任心、上进心、待人诚恳,无不良嗜好,大专,3,N,N,N,N,N,N,N
265,女性,1982,N,有上海户口,N,单身,1.6,N,N,N,本科,4,N,N,N,国企主管,90000,N,父母公务员，事业单位退休,N,家住浦东,N,男性,1976,1982,1976年到1982年间出生,N,N,未婚,N,N,诚实、人品好,N,N,N,N,N,N,N,条件基本相仿,N,Y
266,女性,1981,N,有上海户口,N,离异,1.65,N,N,N,本科,4,N,N,N,事业在编,96000,有房,N,N,备有婚房,N,男性,N,1973,1973年前出生,N,N,N,1.7,N,N,N,本科,4,N,96000,要有婚房,N,未育或孩归女,N,N
267,女性,1985,N,N,N,N,1.6,N,N,N,本科,4,N,N,N,幼教财务,96000,N,N,N,N,N,男性,1981,1985,1981年到1985年间出生,上海户口,N,N,1.7,N,N,N,大专,3,N,120000,N,N,N,N,N
268,男性,1978,上海,有上海户口,上海,单身,N,N,N,N,大专,3,N,N,N,公司职员,96000,有房,N,N,有房三室二厅,N,女性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
269,男性,1978,上海,有上海户口,上海,单身,N,N,N,N,大专,3,N,N,N,公司职员,96000,有房,N,N,备有婚房,N,女性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
270,男性,1978,上海,N,N,单身,N,N,N,N,大专,3,N,N,N,公司职员,96000,有房,N,N,备有婚房,N,女性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
271,男性,1983,上海,有上海户口,N,N,1.84,N,N,N,本科,4,N,N,N,国企宾馆管理,96000,有房,父母均国企退休,N,备有婚房,N,女性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
272,男性,1981,N,N,N,N,1.78,N,N,N,大专,3,N,N,N,银行,96000,有房,N,N,浦东有房,N,女性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
273,男性,1991,上海,有上海户口,N,单身,1.74,N,英俊可爱,N,本科,4,N,N,N,软件,96000,N,N,N,N,英俊可爱,女性,N,N,N,N,N,未婚,N,清秀、甜美,稳重、性格开朗、温柔、善良,N,N,N,N,N,N,N,N,N,N
274,女性,1982,N,有上海户口,N,N,1.63,N,N,为人善良、本分、稳重,大专,3,N,N,N,网络公司,96000,N,N,N,N,N,男性,N,N,N,N,N,N,1.7,N,人品好,N,N,N,工作稳定,N,N,N,N,N,N
275,女性,1985,N,N,N,N,1.61,48,貌佳,N,本科,4,N,N,N,外企药剂师,96000,N,N,N,N,N,男性,1980,1985,1980年到1985年间出生,上海户口,N,N,1.7,N,N,N,大专,3,N,120000,要有婚房,N,N,N,N
276,女性,1982,N,有上海户口,N,单身,1.74,60,长相清秀、气质佳,N,本科,4,N,N,N,医疗事业单位,96000,有房,父母退休,N,独生女，备有婚房,N,男性,1976,1983,1976年到1983年间出生,N,N,N,1.77,N,性格好,无不良嗜好,本科,4,有稳定收入,N,N,N,N,N,N
277,男性,1965,N,N,N,单身,1.75,N,N,N,高中,2,N,N,N,驾驶员,96000,有房,N,N,备有婚房,N,女性,1964,1974,1964年到1974年间出生,N,N,N,1.6,N,N,N,N,N,N,N,N,N,未婚或短婚未育,N,N
278,男性,1959,山东,N,N,离异,1.73,N,英俊,有担当责任心,本科,4,N,N,N,行政,96000,有房,N,N,备有婚房。有房两套,N,女性,1951,1967,1951年到1967年间出生,上海户口,N,离异,1.62,相貌端正,性格好,N,N,N,N,N,N,N,N,N,N
